sample_idx,centroid_type,similarity,LR,LogLR,class
0,train_real_centroid,0.96975595,19346.509676574286,4.286602624914017,real_real
1,train_real_centroid,0.9734627,23359.043857538105,4.368455062075056,real_real
2,train_real_centroid,0.9296987,1778.2269195382526,3.2499871804896814,real_real
3,train_real_centroid,0.97957957,30986.083446241588,4.491166686107702,real_real
4,train_real_centroid,0.95507073,8364.418365766802,3.922435746933767,real_real
5,train_real_centroid,0.8785579,240.3608336642371,2.380863701644871,real_real
6,train_real_centroid,0.94150776,3616.7626833855725,3.558320013136132,real_real
7,train_real_centroid,0.9199834,1038.0104043171157,3.0162017066096123,real_real
8,train_real_centroid,0.4923694,2.604514003196393,0.41572669676375296,real_real
9,train_real_centroid,0.82524824,362.63119515883477,2.5594651613221,real_real
10,train_real_centroid,0.98986113,45624.31615020738,4.659196367997854,real_real
11,train_real_centroid,0.9334463,2216.015092885114,3.3455727139690272,real_real
12,train_real_centroid,0.97800165,28922.143935707336,4.461230483122362,real_real
13,train_real_centroid,0.9692925,18890.73572706036,4.2762488724787575,real_real
14,train_real_centroid,0.9519879,6925.99555966095,3.8404822087821158,real_real
15,train_real_centroid,0.97108185,20723.40912541136,4.316461201004022,real_real
16,train_real_centroid,0.7286137,156.2570523539026,2.193839627483419,real_real
17,train_real_centroid,0.97206706,21783.875379453035,4.338135143840048,real_real
18,train_real_centroid,0.9666594,16396.949003326095,4.214763045957024,real_real
19,train_real_centroid,0.95721555,9521.559514474444,3.9787080863111446,real_real
20,train_real_centroid,0.97022945,19842.655408594812,4.29759979040546,real_real
21,train_real_centroid,0.9454877,4628.937811783296,3.665481346222263,real_real
22,train_real_centroid,0.72253245,114.50489824618958,2.0588240651544263,real_real
23,train_real_centroid,0.9356352,2526.374044744351,3.402497650867905,real_real
24,train_real_centroid,0.9623225,12858.446452678283,4.1091885006421895,real_real
25,train_real_centroid,0.82616615,354.81219845778907,2.549998542478281,real_real
26,train_real_centroid,0.9307336,1888.455610779672,3.2761067809453746,real_real
27,train_real_centroid,0.9734011,23285.572279765907,4.367086915873659,real_real
28,train_real_centroid,0.91470766,792.7310292399383,2.899125857769459,real_real
29,train_real_centroid,0.9439163,4198.213661957926,3.6230645375927413,real_real
30,train_real_centroid,0.95281285,7286.7766211531625,3.8625354562700225,real_real
31,train_real_centroid,0.9765028,26996.099058431737,4.431301013055489,real_real
32,train_real_centroid,0.9291301,1720.8879938306418,3.235752604642334,real_real
33,train_real_centroid,0.7109042,63.793842560384505,1.8047787622462592,real_real
34,train_real_centroid,0.8480203,246.3559631946542,2.391563079097995,real_real
35,train_real_centroid,0.830362,323.47795990019694,2.509844695453538,real_real
36,train_real_centroid,0.9149708,803.1505905486697,2.9047969830279063,real_real
37,train_real_centroid,0.9551835,8421.525215728747,3.925390753351,real_real
38,train_real_centroid,0.9630317,13386.542014463794,4.126668405392207,real_real
39,train_real_centroid,0.79990315,830.1418515479805,2.919152309340883,real_real
40,train_real_centroid,0.9673455,17018.169354118978,4.230912841167832,real_real
41,train_real_centroid,0.90083706,429.28094531402513,2.632741611683186,real_real
42,train_real_centroid,0.8866752,277.34616362613525,2.443022162904513,real_real
43,train_real_centroid,0.9531027,7417.157029113242,3.87023747358581,real_real
44,train_real_centroid,0.94359565,4116.429688066977,3.6145207017115104,real_real
45,train_real_centroid,0.97058517,20201.421190904108,4.30538192358801,real_real
46,train_real_centroid,0.96588933,15724.350767656944,4.196572723189181,real_real
47,train_real_centroid,0.96172816,12422.309999491117,4.094202362889608,real_real
48,train_real_centroid,0.97824633,29234.1873873925,4.465891026407398,real_real
49,train_real_centroid,0.96610063,15902.319926553884,4.201460486446541,real_real
50,train_real_centroid,0.9668382,16563.048147896487,4.219140264332503,real_real
51,train_real_centroid,0.9685926,18195.151355157348,4.259955672587066,real_real
52,train_real_centroid,0.9548677,8263.409717378088,3.9171592865317195,real_real
53,train_real_centroid,0.96405894,14189.88891847439,4.151978995719459,real_real
54,train_real_centroid,0.9171723,897.1848790336498,2.952881945464223,real_real
55,train_real_centroid,0.90468806,501.0201530325988,2.6998551952780674,real_real
56,train_real_centroid,0.7797789,1730.0583387188403,3.2380607480747448,real_real
57,train_real_centroid,0.9496908,6009.421838627848,3.7788326909092493,real_real
58,train_real_centroid,0.9533504,7531.943650114217,3.8769070622028328,real_real
